Rank,Name,Score,Avatar
217,aditya-arjun,69,https://avatars2.githubusercontent.com/u/27634145?v=4
217,DayDun,69,https://avatars0.githubusercontent.com/u/14539902?v=4
217,Jakub Michálek,69,https://avatars3.githubusercontent.com/u/1854431?v=4
217,Indivicivet,69,https://lh4.googleusercontent.com/-j6DEHgyZdCU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmtdD05dS0h0qtATztz_2opIDgQpQ/s96-c/photo.jpg
221,Morgan Sterling,68,https://avatars1.githubusercontent.com/u/1697126?v=4
221,wim glenn (AoC++),68,https://avatars1.githubusercontent.com/u/6615374?v=4
221,drougge (AoC++),68,https://avatars3.githubusercontent.com/u/541703?v=4
221,Green Lightning (AoC++),68,https://avatars0.githubusercontent.com/u/1459067?v=4
221,sampersand,68,https://avatars3.githubusercontent.com/u/6655027?v=4
221,Dennis Tian,68,https://lh3.googleusercontent.com/a-/AOh14Ggq0Cg55w7R2hpb9ggspn8bPv33La9meYPj6DAL3Q=s96-c
221,matthewd,68,https://avatars1.githubusercontent.com/u/1034?v=4
228,JustinZhengBC,67,https://avatars1.githubusercontent.com/u/29615021?v=4
229,Jeff Davidson,66,https://lh3.googleusercontent.com/a-/AOh14Gj-umDwS0Vzo1Qy0qvGnlyKGOA40eve5SM-0rHAAhE=s96-c
229,Yoshi van den Akker (AoC++),66,https://avatars1.githubusercontent.com/u/23527439?v=4
229,Thomas Hines (AoC++),66,https://avatars2.githubusercontent.com/u/1562864?v=4
229,tjjfvi,66,https://avatars0.githubusercontent.com/u/44031566?v=4
233,Toby Craig,65,https://avatars0.githubusercontent.com/u/1301771?v=4
234,maneframe (AoC++),64,https://avatars2.githubusercontent.com/u/2111401?v=4
234,Bubbler-4,64,https://avatars3.githubusercontent.com/u/22365659?v=4
236,Joel Jonsson (AoC++),63,https://avatars2.githubusercontent.com/u/1818806?v=4
237,leaen,62,https://avatars3.githubusercontent.com/u/2216177?v=4
237,nmutalik (AoC++),62,https://avatars3.githubusercontent.com/u/2798587?v=4
237,Keenan G,62,https://avatars2.githubusercontent.com/u/41458184?v=4
237,Leo DiPerna,62,https://lh6.googleusercontent.com/-T9PegwuNLsk/AAAAAAAAAAI/AAAAAAAAAGc/AMZuucmUYIc68B0aAXB3LRnir-NH5jRvLw/s96-c/photo.jpg
241,Tanner Hoke,61,https://avatars2.githubusercontent.com/u/8375463?v=4
241,connorjayr,61,https://avatars2.githubusercontent.com/u/5413757?v=4
241,algmyr,61,https://avatars1.githubusercontent.com/u/15268706?v=4
244,八起,60,https://avatars2.githubusercontent.com/u/51730465?v=4
244,meagar,60,https://avatars0.githubusercontent.com/u/242474?v=4
244,Graham White,60,https://lh3.googleusercontent.com/a-/AOh14GgcZd2Lgt-oVFwsbfFpPVJHTlcLMs552Ut4G-PB=s96-c
244,Jeffrey Meng,60,https://avatars0.githubusercontent.com/u/15185258?v=4
248,Md Abedin,59,https://avatars3.githubusercontent.com/u/18149939?v=4
248,heinrich5991,59,http://pbs.twimg.com/profile_images/1560569247/543eae2c4db8823cb57717b8a1b238be_1_.jpg_size_200
248,Michael Lang,59,https://lh3.googleusercontent.com/a-/AOh14Gj7mB3NRYPydbmRjuTfPvHAHHqNDC8vjGW_4Gve_w=s96-c
248,Joshua Wise (AoC++),59,https://avatars3.githubusercontent.com/u/87427?v=4
252,m4tx,58,https://avatars1.githubusercontent.com/u/3128220?v=4
252,(anonymous user #468053),58,
252,Niak,58,https://lh3.googleusercontent.com/a-/AOh14GjBm611R1zHUOPARqjd0L50_XX3ZOnejatU-u79=s96-c
252,Murray Edwards,58,https://lh5.googleusercontent.com/-ikh7oxsgWRk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucltVsXKpe8F8G6ISY07Dy9xI-C_dw/s96-c/photo.jpg
256,Henrico Pops (AoC++),57,https://lh3.googleusercontent.com/a-/AOh14Gi-yShKK4Tnq1CBmWTvjbcwjEGP5k8EzVHeNGH3C0w=s96-c
256,Paul Draper,57,https://avatars3.githubusercontent.com/u/1403271?v=4
258,octylFractal,56,https://avatars1.githubusercontent.com/u/2093023?v=4
258,mniip,56,https://avatars3.githubusercontent.com/u/1322658?v=4
260,UnrelatedString,55,https://avatars0.githubusercontent.com/u/33167175?v=4
260,Adam Jimenez,55,https://lh3.googleusercontent.com/a-/AOh14GgK4IgCe3Hq54MtJVdBF2WWs2jjOCwiPJJJ2mSJSw=s96-c
260,Jacob Magnuson (AoC++),55,https://lh3.googleusercontent.com/a-/AOh14Gg7GhnOtJR2ObgwHNVhc0MxRupq_N70Nqo8hWhV=s96-c
260,rdkbrady,55,https://avatars2.githubusercontent.com/u/6564565?v=4
264,seligman99 (AoC++),53,
264,segiddins,53,https://avatars1.githubusercontent.com/u/1946610?v=4
264,twright0,53,https://avatars3.githubusercontent.com/u/246909?v=4
267,chanbakjsd,52,https://avatars2.githubusercontent.com/u/13083997?v=4
267,Ziyad Edher,52,https://lh3.googleusercontent.com/a-/AOh14Gh6_zxT6QJvjBAQtw69B_o0gbduizIeFFXNHRA8Lg=s96-c
269,glguy (AoC++),51,https://avatars1.githubusercontent.com/u/12164?v=4
270,LukasGelbmann,50,https://avatars0.githubusercontent.com/u/34147627?v=4
270,LegionMammal978,50,https://avatars2.githubusercontent.com/u/7880963?v=4
270,Michelle Dobbs,50,https://lh3.googleusercontent.com/a-/AOh14GjM-mIfOxcOcPM4VSuK-HfNwfU3GWHki1bFo6AzDg=s96-c
270,rcarneva (AoC++),50,https://avatars3.githubusercontent.com/u/1483534?v=4
270,0xTJ (AoC++),50,https://avatars3.githubusercontent.com/u/7854414?v=4
275,grekiki,49,https://avatars1.githubusercontent.com/u/16437969?v=4
275,mingmingrr,49,https://avatars2.githubusercontent.com/u/12855406?v=4
275,skaldskaparmal,49,
275,aaronsantiago,49,https://avatars2.githubusercontent.com/u/47049060?v=4
275,(anonymous user #750627),49,
280,Carl Schildkraut,48,https://lh3.googleusercontent.com/a-/AOh14GjIKwKEbBf3hO_AtVU7wM_SUTWq2EMW8407PgwQ=s96-c
280,Timothy Mou,48,https://lh5.googleusercontent.com/-v6omnWGW3FY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmFc_5gAfNOkdQDZ3AvHemUnYvuCw/s96-c/photo.jpg
280,Justin Jaffray,48,https://lh3.googleusercontent.com/a-/AOh14GhEMvxLn0S1P-ozeIVhF5thoTfVg_JRas4KatgKDA=s96-c
280,(anonymous user #975121),48,
280,Adam Ratzman,48,https://avatars0.githubusercontent.com/u/20359921?v=4
285,Alex Oro,47,https://lh3.googleusercontent.com/a-/AOh14GjEcMxAaY3d3qk1QLdHMckmIa1IQDAWo4V6ohLj=s96-c
286,(anonymous user #289486),46,
286,Maarten van der Zwaart,46,https://lh5.googleusercontent.com/-tnZ-2SbUQTw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckSELsCNBFnU4GTFOUfIFm3Eo2PlQ/s96-c/photo.jpg
286,Fredrik Østrem,46,https://avatars1.githubusercontent.com/u/1686349?v=4
