Rank,Name,Score,Link,Avatar
135,NotEvenJoking (AoC++),164,https://github.com/770grappenmaker,https://avatars.githubusercontent.com/u/50543283?v=4
135,Peter Kuhar,164,https://github.com/apkuhar,https://avatars.githubusercontent.com/u/2001461?v=4
137,Yiming Li,162,,https://lh3.googleusercontent.com/a/ACg8ocKduBL_89ZFLRFXk27kaNfiYJcIaMxO5Ubr4fRZNeJ1=s96-c
137,RandomLB,162,,https://lh3.googleusercontent.com/a/ACg8ocKig12ccSnlD0fExy9tPRiJEpf4e9erfWwwAAq3A1mzgEA=s96-c
139,Paul Swingle,161,,https://lh3.googleusercontent.com/a/ACg8ocK28JZQRXdh4_wtUhn_iMZWmoh367zXlzXbUQaudfTHpq0=s96-c
140,periodically-makes-puns,160,https://github.com/periodically-makes-puns,https://avatars.githubusercontent.com/u/34005746?v=4
140,1234abcdcba4321 (AoC++),160,,https://avatars.githubusercontent.com/u/8494401?v=4
142,Enterprize1 (AoC++),158,https://github.com/Enterprize1,https://avatars.githubusercontent.com/u/807215?v=4
142,Youssef El Zamzamy,158,,https://lh3.googleusercontent.com/a/ACg8ocJtl-ve0HYx8hYHks5qGiCnh6tOYvipUsu5-9mKkrLq=s96-c
144,glguy (AoC++),157,https://github.com/glguy,https://avatars.githubusercontent.com/u/12164?v=4
145,andy-k,156,,https://avatars.githubusercontent.com/u/4179698?v=4
146,Brian Liu,155,,https://lh3.googleusercontent.com/a/ACg8ocKiZp0QhCTQcGmsX4shz7P1kAJVu8gT3P9DTMWZBlr7W2A=s96-c
147,Liresol,153,,https://avatars.githubusercontent.com/u/16006418?v=4
148,int-e,152,,https://avatars.githubusercontent.com/u/2060964?v=4
149,Роман Курмаев,151,,https://lh3.googleusercontent.com/a/ACg8ocKxN5vqGGZpvbUbvYKDksnIasgEWNeHZdXePqrlE1JS=s96-c
150,SeptaCube,150,,https://avatars.githubusercontent.com/u/69988549?v=4
151,qwewqa,148,https://github.com/qwewqa,https://avatars.githubusercontent.com/u/17557038?v=4
152,teidesu,146,https://github.com/teidesu,https://avatars.githubusercontent.com/u/86301490?v=4
153,david-why,145,https://github.com/david-why,https://avatars.githubusercontent.com/u/22110069?v=4
154,JackMacWindows,143,https://github.com/MCJack123,https://avatars.githubusercontent.com/u/6236912?v=4
154,Kevin Wang (AoC++),143,https://github.com/VitamintK,https://avatars.githubusercontent.com/u/1139798?v=4
156,Timothy Mou,142,,https://lh3.googleusercontent.com/a/ACg8ocJr84_htp2STs4_ma6TRG5TcAmny2sVPxS5FgQIP2k-=s96-c
157,andrewcarlotti,138,,https://avatars.githubusercontent.com/u/11681428?v=4
158,Herman,137,,https://lh3.googleusercontent.com/a/ACg8ocLPplaVbbb2QraVuuz91LWaTuwQRA_8ClYW5hXIMT76=s96-c
158,Michael Fogleman,137,https://github.com/fogleman,https://avatars.githubusercontent.com/u/520208?v=4
158,Tomáš Pavlík,137,,https://lh3.googleusercontent.com/a/ACg8ocLfvns031Fri8zNFgxi6uXbCmtzEQo46BZiVMD0-M8D=s96-c
161,Miriam Vellacott (AoC++),136,https://github.com/Artemis21,https://avatars.githubusercontent.com/u/57376638?v=4
161,Ethan C,136,,https://lh3.googleusercontent.com/a-/ALV-UjVxcamnvlimSWD2nlbJ6Cn9XL8r22i7Qk-GzBdZqGxObhOEx4ghLh5UAf_yvsPlqfgieLYVGA2A-bp24_CWUk-RB1y55fZ_6IAySnu2U3GS-zXOWtrRM0AJ1Hin3Duh-q_y3I6zmGLz4JTiEF0fZJ
161,João Salavisa,136,,https://lh3.googleusercontent.com/a/ACg8ocL4mSXKCYq1t0pC5VogcaQzxdPAXr2Hz6_o99SWgL9nsnrk=s96-c
164,the-chenergy,134,https://github.com/the-chenergy,https://avatars.githubusercontent.com/u/44916353?v=4
164,Kami Leon,134,,https://lh3.googleusercontent.com/a/ACg8ocLWMGfPLF5hZYif3xSdTEsILVNKy7IuwOJ8lHFtn9L5Kw=s96-c
166,ZED.Charley William Thairo,133,,https://avatars.githubusercontent.com/u/7867810?v=4
